inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm,pts_for_thrty,pts_for_fifty,pts_for_hundy,pts_for_ducky,pts_for_3w,pts_for_4w,pts_for_5w,bow_econ,pts_for_bow_econ,bat_pts,bow_pts,pts_crickpe
1,AT Rayudu,1,12.0,0.0,1.0,1.0,12.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,14.0,0.0,14.0
1,BA Stokes,1,7.0,1.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,8.0,0.0,8.0
1,DP Conway,1,1.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,1.0,0.0,1.0
1,MJ Santner,1,1.0,0.0,0.0,0.0,3.0,2.0,32.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,8.0,0.0,1.0,0.0,1.0
1,MM Ali,1,23.0,4.0,1.0,1.0,16.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,29.0,0.0,29.0
1,MS Dhoni,1,14.0,1.0,1.0,0.0,7.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,17.0,0.0,17.0
1,RA Jadeja,1,1.0,0.0,0.0,1.0,2.0,2.0,28.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,7.0,0.0,1.0,25.0,26.0
1,RD Gaikwad,1,92.0,4.0,9.0,1.0,50.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,4,8,0,0,0,0,0,,0.0,126.0,0.0,126.0
1,S Dube,1,19.0,0.0,1.0,1.0,18.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,21.0,0.0,21.0
1,RS Hangargekar,1,,,,,,2.0,32.0,24.0,3.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,4,0,0,8.0,0.0,0.0,79.0,79.0
1,TU Deshpande,1,,,,,,2.0,49.0,20.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,14.7,0.0,0.0,25.0,25.0
1,DL Chahar,1,,,,,,2.0,29.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,7.25,0.0,0.0,0.0,0.0
2,Mohammed Shami,1,,,,,,1.0,28.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,7.0,0.0,0.0,50.0,50.0
2,J Little,1,,,,,,1.0,41.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,10.25,0.0,0.0,25.0,25.0
2,AS Joseph,1,,,,,,1.0,33.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,8.25,0.0,0.0,50.0,50.0
2,R Tewatia,1,15.0,1.0,1.0,0.0,14.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,18.0,0.0,18.0
2,V Shankar,1,27.0,2.0,1.0,1.0,21.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,31.0,0.0,31.0
2,Shubman Gill,1,63.0,6.0,3.0,1.0,36.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,4,8,0,0,0,0,0,,0.0,87.0,0.0,87.0
2,Rashid Khan,1,10.0,1.0,1.0,0.0,3.0,1.0,26.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,6.5,0.0,13.0,50.0,63.0
